全唐诗分卷目录

巴斯光年 整理


卷001  太宗皇帝
卷002  高宗皇帝 中宗皇帝 睿宗皇帝
卷003  明皇皇帝
卷004  肃宗皇帝 德宗皇帝 文宗皇帝 宣宗皇帝 昭宗皇帝
卷005  文德皇后 则天皇后 徐贤妃 上官昭容 杨贵妃 江妃
卷006  章怀太子 韩王元嘉 越王贞 信安王祎
卷007  宜芬公主 宋若华 宋若昭 宋若宪 鲍君徽 萧妃
卷008  南唐先主昪 嗣主璟 后主煜 韩王从善 吉王从谦 蜀主王建 后主衍 吴越王钱镠 后王钱俶 后蜀嗣主孟昶 闽王王继鹏
卷009  蜀太后徐氏 太妃徐氏
卷010-016  郊庙歌辞
卷017-029  乐府
卷030  王珪 陈叔达 袁朗 窦威 长孙无忌 颜师古 杜濬
卷031  魏征
卷032  褚亮
卷033  于志宁 令狐德棻 封行高 杜正伦 岑文本 刘洎 褚遂良 杨续 刘孝孙 陆敬 沈叔安何仲宣 赵中虚 杨濬
卷034  杨师道
卷035  许敬宗 李义府
卷036  虞世南
卷037  王绩
卷038  萧德言 郑世翼 崔信明 孔绍安 谢偃 蔡允恭 杜之松 崔善为 朱仲晦 王宏 朱子奢张文收 毛明素
卷039  陈子良 庾抱 马周 来济 张文恭 薛元超 萧翼 欧阳询 阎立本 张文琮
卷040  上官仪
卷041-042  卢照邻
卷043  李百药
卷044  刘祎之 李敬玄 张大安 元万顷 郭正一 胡元范 任希古 裴守真 杨思玄 王德真 郑义真 萧楚材 薛克构 徐珩 贺遂亮 韩思彦 魏求己 刘怀一
卷045  杜易简 陈元光 许天正 许圉师 赵谦光 郑惟忠 张𬸦 李福业 薛眘惑 贺敱
卷046  狄仁杰 魏元忠 韦承庆 李怀远 崔日用 宗楚客 苏瓌
卷047-049  张九龄
卷050  杨炯
卷051-053  宋之问
卷054  崔湜 崔液 崔涤
卷055-056  王勃 附王勔
卷057-061  李峤
卷062  杜审言
卷063  董思恭 刘允济 邵大震 辛常伯
卷064  姚崇 宋璟
卷065  苏味道
卷066  郭震
卷067  田游岩 王无竞 贾曾 李夔 崔玄童 何鸾 蒋挺
卷068  崔融
卷069  阎朝隐 韦元旦 邵升 唐远悊
卷070  李适
卷071  刘宪
卷072  高正臣 崔知贤 席元明 韩仲宣 周彦昭 高球 弓嗣初 高瑾 王茂时 徐皓 长孙正隐高绍 郎余令 陈嘉言 周彦晖 高峤 刘友贤 周思钧
卷073-074  苏颋
卷075  姜晞 姜皎 蔡孚 徐晶 张敬忠 史俊
卷076  徐彦伯
卷077-079  骆宾王
卷080  武三思 张易之 张昌宗 薛曜 杨敬述 于季子
卷081  乔知之 乔侃 乔备
卷082  刘希夷
卷083-084  陈子昂
卷085-089  张说
卷090  张均 张垍
卷091  韦嗣立 魏奉古 崔日知 崔泰之 魏知古
卷092  李乂
卷093  卢藏用 岑羲 薛稷 马怀素
卷094  富嘉谟 吴少微 员半千 王适 闾丘均 齐澣 祝钦明 刘知几 胡雄 张齐贤 郑善玉 丘悦
卷095-097  沈佺期
卷098  赵冬曦 尹懋 王琚 阴行先 王熊 梁知微 李伯鱼 杨重玄 朱使欣
卷099  张循之 王晙 张柬之 袁恕已 刘幽求 章玄同 王易从 卢僎 牛凤及
卷100  司马逸客 王绍宗 郑遂初 李崇嗣 东方虬 张楚金 房融 吕太一 张纮 郑蜀宾
卷101  宋务光 李景伯 李行言 郭利贞 元希声 李澄之 李如璧 洪子舆 寇泚 吴兢
卷102  武平一
卷103  赵彦昭
卷104  萧至忠 李迥秀 杨廉 韦安石 窦希玠 陆景初 郑南金 李咸 赵彦伯 于经野 卢怀慎
卷105  辛替否 王景 毕干泰 曲瞻 樊忱 孙佺 李从远 周利用 张景源 李恒 张锡 解琬
卷106  郑愔
卷107  源乾曜 徐坚 源光裕
卷108  李元纮 裴漼 刘升 萧嵩 韦抗 李暠 韦述 陆坚 程行谌 褚琇 裴光庭 宇文融 崔沔 崔尚 胡皓
卷109  李适之 房琯 李泌 郭子仪
卷110  张谔 刘庭琦 郑繇
卷111  韩休 许景先 王丘 苏晋 崔禹锡 张嘉贞 卢从愿 袁晖 王光庭 徐知仁 席豫 韩思复 刘晃
卷112  贺知章
卷113  裴耀卿 宋鼎 崔颂 孙翃 徐仁友 苏绾 康庭芝 张宣明 卢崇道
卷114  包融 张翚 丁仙芝 蔡隐丘 蔡希周 蔡希寂 张潮 周瑀 谈戭 殷遥 沈如筠 孙处玄 徐延寿 樊晃
卷115  李憕 李邕 王湾 史青 王泠然
卷116  张子容
卷117  张旭 贺朝 万齐融 邢巨 张若虚 薛业
卷118  孙逖
卷119  崔国辅
卷120  崔珪 杨浚 刘晏 袁瓘 李昂 厍狄履温 寇坦 李休烈
卷121  李林甫 杨炎 元载 陈希烈 张渐 宋昱
卷122  卢象
卷123  卢鸿一
卷124  徐安贞 崔翘 梁升卿 吴巩 陆海 裴士淹 李元操 顾朝阳 陶岘
卷125-128  王维
卷129  王缙 裴迪 崔兴宗 苑咸 丘为 赵骅
卷130  崔颢
卷131  祖咏
卷132-134  李颀
卷135  綦毋潜
卷136-139  储光羲
卷140-143  王昌龄
卷144  常建
卷145  杜𬱟 李嶷 崔亘 蒋维翰 万楚 范朝 杨颜 王𬤇 王岳灵 周万
卷146  陶翰
卷147-151  刘长卿
卷152  颜真卿
卷153  李华
卷154  萧颖士
卷155  崔曙
卷156  王翰
卷157  孟云卿
卷158  张巡 张抃 贺兰进明 闾丘晓 庾光先 韦丹 萧昕 李希仲 杨志坚
卷159-160  孟浩然
卷161-185  李白
卷186-195  韦应物
卷196  孟彦深 刘湾 孙昌胤 乔琳 柳浑
卷197  张谓
卷198-201  岑参
卷202  沈宇 张鼎 薛奇童 杨谏 张万顷 沈颂 梁锽
卷203  杜俨 赵良器 黄麟 郭向 郭良 王乔 徐九皋 阎宽 李收 程弥纶 屈同仙 豆卢复 荆冬倩 梁洽 郑绍 朱斌 梁德裕 常非月 张良璞 孙欣 王羡门 芮挺章 楼颖 李康成
卷204  杨贲 李清 陈季 王邕 庄若讷 魏璀 王𩔪 鲁收 朱逵 许瑶 窦冀
卷205  包佶
卷206-207  李嘉祐
卷208  包何
卷209  贾邕 刘舟 长孙铸 房白 元晟 刘太冲 姚发 郑愕 殷少野 邬载
卷210  皇甫曾
卷211-214  高适
卷215  李岘 李栖筠 徐浩 薛令之 邹绍先 李穆 冯著 王迥 李晔 敬括
卷216-234  杜甫
卷235  贾至
卷236-239  钱起
卷240-241  元结
卷242  张继
卷243-245  韩翃
卷246-247  独孤及
卷248  郎士元
卷249-250  皇甫冉
卷251  刘方平
卷252  刘太真 袁傪 崔何 王纬 郭澹 高傪 李岑 苏寓 袁邕 李纾 于邵
卷253  王之涣 阎防 薛据 姚系 令狐峘 滕珦
卷254  常衮 褚朝阳
卷255  苏源明 郑虔 毕耀 韦济 田澄 沈东美 苏涣
卷256  刘眘虚
卷257  息夫牧 宋华 邹象先 韦建 殷寅 柳中庸
卷258  崔惠童 崔敏童 苗晋卿 贾耽 赵居贞 萧华 李岑 元友让 蒋冽 蒋涣 段怀然 张偁 陈孙 李峰
卷259  沈千运 王季友 于逖 张彪 赵征明 元季川
卷260  秦系
卷261  任华 魏万 崔宗之 崔成甫 严武 韦迢 郭受
卷262  韩滉 窦蒙 张濯 王绰 郑锡 古之奇 李阳冰
卷263  严维
卷264-267  顾况
卷268-269  耿𣲗
卷270  戎昱
卷271  窦叔向 窦常 窦牟 窦群 窦庠 窦巩
卷272  韦元甫 王铤 潘炎 张叔良 吕牧 韦夏卿 綦毋诚 姚伦 于结 郑孺华 张叔卿 房孺复 杨郇伯 陈润 杜诵 郑丹 郑昈 朱长文
卷273-274  戴叔伦
卷275  张建封 于良史 崔膺 冯宿 陆长源 张众甫 王武陵 朱宿
卷276-280  卢纶
卷281  崔琮 李竦 张惟俭 章八元 张莒 史延 韩濬 郑辕 王濯 独孤绶 仲子陵 张佐 丁泽 阎济美 张少博 周彻 高拯 王表 独孤授 王储 周渭
卷282-283  李益
卷284-286  李端
卷287  畅当 畅诸
卷288  陆贽 张蒙 常沂 周存 黎逢 张昔 丁位 元友直 杨系 崔绩 张季略 裴达 裴逵 沈回
卷289  杨凭
卷290  杨凝
卷291  杨凌
卷292-293  司空曙
卷294  崔峒
卷295  苗发 吉中孚 夏侯审 王烈 卫象 崔季卿 何兆 奚贾
卷296  张南史
卷297-302  王建
卷303-304  刘商
卷305  陈翊 刘复 冷朝阳 于尹躬 柳郴 李子卿
卷306  朱湾
卷307  丘丹 贾弇 沈仲昌 谢良辅 鲍防 杜奕 郑概 陈元初 吕渭 范灯 樊珣 刘蕃
卷308  张志和 张松龄 陆羽
卷309  郭郧 韦同则 李夷简 李约
卷310  于鹄
卷311  刘长川 郑常 陈存 王观 崔瓘 郑审 朱彬 李彦远 范元凯
卷312  刘迥 李幼卿 李深 羊滔 薛戎 谢勮
卷313  崔元翰 独孤良器 高崇文 罗珦 皇甫澈 张登 韦执中 邵真 何频瑜 骆浚 罗让
卷314  陈京 韦渠牟 窦参 卢群 韦皋 李愿 王智兴 袁高 崔子向 张署 归登
卷315  朱放
卷316-317  武元衡
卷318  李吉甫 郑𬘡 郑余庆 赵宗儒 柳公绰 张正一 徐放 崔备 萧祜 王良士 独孤实 卢士政 于敖 皇甫镛
卷319  颜粲 徐敞 张聿 曲信陵 张正元 王履贞 彭伉 林藻 李观 李绛 崔枢 陆复礼 李正辞 张嗣初 许康佐 许尧佐 李君房 杜羔 车𥾝
卷320-329  权德舆
卷330  张荐 崔邠 杨于陵 许孟容 冯伉 潘孟阳 武少仪
卷331  段文昌 姚向 温会 李敬伯 姚康
